file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00213_0150_789991_to_791220,ཀྱེ་མ། ཀྱེ་ཧུད།  ,kye ma/_kye hud/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00213_0150_789991_to_791220.wav,STT_AB,3,17,1.229,wav16k/STT_AB00213_0150_789991_to_791220.wav,ཀྱེ་མ་ཀྱི་ཧུད།
STT_AB00214_0009_85366_to_93745,གནའ་གྲོང་ལྷ་སའི་བར་སྐོར་གྱི་གཡས་གཡོན་དུ་སྲང་ལམ་མང་ཞིང་། རྒྱུན་དུ་སྲང་ལམ་དེ་དག་བརྒྱུད་དེ་བར་སྐོར་ནང་འགྲོ་མི་མང་བས་འཁྲུག་ཆ་ཤིན་ཏུ་དོད།  ,gna' grong lha sa'i bar skor gyi g.yas g.yon du srang lam mang zhing /_rgyun du srang lam de dag brgyud de bar skor nang 'gro mi mang bas 'khrug cha shin tu dod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00214_0009_85366_to_93745.wav,STT_AB,3,134,8.379,wav16k/STT_AB00214_0009_85366_to_93745.wav,སྣ་གྲོང་ལྷ་སའི་བར་སྐོར་གྱི་གཡས་གཡོན་དུ་སྲང་ལམ་མང་ཞིང་རྒྱུན་དུ་སྲང་ལམ་དེ་དག་བརྒྱུད་དེ་བར་སྐོར་ནང་འགྲོ་མི་མང་བས་འཁྲུག་ཆ་ཤིན་ཏུ་དོས།
STT_TT00107_03403.350-03403.850,ཨེ་ནས།  ,e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00107_03403.350-03403.850.wav,STT_TT,3,8,0.5,wav16k/STT_TT00107_03403.350-03403.850.wav,ཨེ་ནས།
STT_TT00108_00468.200-00469.250,གཅིག་གིས། ཨེ།  ,gcig gis/_e/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00108_00468.200-00469.250.wav,STT_TT,3,15,1.0500000000000114,wav16k/STT_TT00108_00468.200-00469.250.wav,ཅིག་ཨེ།
STT_AB00213_0126_658438_to_666126,དེ་སྔོན་ནང་བཞིན་མོའི་རྗེས་དེད་བྱས་ནས་ཕྱིན་པ་རེད། དེ་ལྟར་ཁོང་གཉིས་ལམ་ཁར་འགྲོ་བཞིན་པའི་སྐབས་འཇིགས་སུ་རུང་པའི་དྲག་རླུང་འཚུབས་ཤིང་།  ,de sngon nang bzhin mo'i rjes ded byas nas phyin pa red/_de ltar khong gnyis lam khar 'gro bzhin pa'i skabs 'jigs su rung pa'i drag rlung 'tshubs shing /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00213_0126_658438_to_666126.wav,STT_AB,3,129,7.688,wav16k/STT_AB00213_0126_658438_to_666126.wav,དེ་སྔོན་ནང་བཞིན་མོའི་རྗེས་འདེད་བྱས་ནས་ཕྱིན་པ་རེད། དེ་ལྟར་ཁོང་གཉིས་ལམ་ཁར་འགྲོ་བཞིན་པའི་སྐབས་འཇིགས་སུ་རུང་བའི་བྲག་རླུང་འཚུབ་ཤིང་།
STT_AB00207_0178_759991_to_760588,ད་ལྟའི་སྐབས།  ,da lta'i skabs/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00207_0178_759991_to_760588.wav,STT_AB,3,14,0.597,wav16k/STT_AB00207_0178_759991_to_760588.wav,ད་ལྟའི་སྐབས་
STT_AB00214_0059_513139_to_525708,བསྐྱར་གདོང་པ་རྙིང་པ་དེ་རེད། ད་ནི་ལྟ་གིན་ལྟ་གིན་མདོག་ཉེ་རུ་ཉེ་རུ་འགྲོ་གི་འདུག བོད་ཟས་ཁང་དེར་གདོང་པ་གསར་པ་འདྲ་མཐོང་རྒྱུ་མེད་ན་ཆང་གང་དུ་བཏུང་བཏུང་རེད། དར་ཁྱབ་ཆེ་བའི་གཞས་ནི་ཁོ་མོས་གཏོང་མི་ཤེས།  ,bskyar gdong pa rnying pa de red/_da ni lta gin lta gin mdog nye ru nye ru 'gro gi 'dug_bod zas khang der gdong pa gsar pa 'dra mthong rgyu med na chang gang du btung btung red/_dar khyab che ba'i gzhas ni kho mos gtong mi shes/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00214_0059_513139_to_525708.wav,STT_AB,3,190,12.569,wav16k/STT_AB00214_0059_513139_to_525708.wav,བརྒྱར་གདོང་པ་རྙིང་པ་དེ་རེད། ད་ནི་ལྟ་གིན་ལྟ་གིན་མདོག་ཉེ་རུ་ཉེ་རུ་འགྲོ་གི་འདུག བོད་ཟས་ཁང་དེར་གདོང་པ་གསར་པ་འདྲ་འཐོང་རྒྱུ་མེད་ན་ཆང་གང་དུ་གཏོང་འཐུང་རེད། ད་ཁྱབ་ཆེ་བའི་ཞལ་སྣི་ཁོ་མོས་གཏོང་མི་ཤེས།
STT_AB00220_0122_1373660_to_1384325,ངོ་མ་ད་ཆ་སྙན་གྲགས་ལགས་གྲོང་ཁྱེར་ནང་དུ་སླེབས་ཀྱང་གྱོན་པ་སོགས་ལ་དང་དོད་དེ་ཙམ་མེད་པས་དེ་བས་རྒན་བཟོ་དོད་པོ་ཞིག་ཆགས། ནང་མི་མཉམ་འཛོམས་བྱུང་ཡང་ཁོང་གི་བཞིན་ལས་སྤྲོ་བ་གང་ཡང་མི་མངོན།  ,ngo ma da cha snyan grags lags grong khyer nang du slebs kyang gyon pa sogs la dang dod de tsam med pas de bas rgan bzo dod po zhig chags/_nang mi mnyam 'dzoms byung yang khong gi bzhin las spro ba gang yang mi mngon/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00220_0122_1373660_to_1384325.wav,STT_AB,3,174,10.665,wav16k/STT_AB00220_0122_1373660_to_1384325.wav,ངོ་མ་ད་ཆ་སྙན་གྲགས་ལ་གྲོང་ཁྱེར་ནང་དུ་སླེབས་ཀྱང་གྱོན་པ་སོགས་ལ་དང་འདོད་དེ་ཙམ་མེད་པས་དེ་བས་རྒན་གསོ་དོད་པོ་ཞིག་ཆགས། ནང་མི་མཉམ་འཛོམས་བྱུང་ཡང་ཁོང་གི་བཞིན་ལས་སྤྲོ་བ་གང་ཡང་མི་མངོན།
STT_AB00211_0082_440008_to_442329,སྲས་དགའ་བོ་རབ་ཏུ་བྱུང་བར་མཛད་པ་རེད།  ,sras dga' bo rab tu byung bar mdzad pa red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00211_0082_440008_to_442329.wav,STT_AB,3,37,2.321,wav16k/STT_AB00211_0082_440008_to_442329.wav,སྲས་དགའ་བོ་རབ་ཏུ་བྱུང་བར་མཛད་པ་རེད།
STT_AB00053_0352_2307715_to_2309520,སྔོན་འཕགས་པ་ཤ་སྟག་གནས་ཏེ།  ,sngon 'phags pa sha stag gnas te/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00053_0352_2307715_to_2309520.wav,STT_AB,3,27,1.805,wav16k/STT_AB00053_0352_2307715_to_2309520.wav,སྔོན་འཕགས་པ་ཤ་སྟག་གནས་ཏེ།
